apple | easy | A common red or green fruit
math | easy | Study of numbers and equations
physics | easy | Study of matter and energy
biology | easy | Study of living organisms
history | easy | Study of past events
geography | easy | Study of the Earth and its features
criminology | medium | Study of crime, criminals, and societal laws
ethnomusicology | medium | Study of music in its cultural context
otorhinolaryngology | hard | Medical specialty focusing on the ear, nose, and throat
silicovolcanoconiosis | hard | Lung disease from fine volcanic silica
sesquipedaliophobia | hard | Fear of long words
pyrrhonism | hard | Extreme scepticism or doubt about everything
zeugma | hard | A figure of speech where one word governs two others differently
wallet | easy | Holds money and cards
keys | easy | Opens doors
phone | easy | Device for calls and messages
watch | easy | Tells time
bag | easy | Used to carry items
umbrella | easy | Keeps you dry in rain
shoes | easy | Worn on feet
glasses | easy | Corrects vision
notebook | easy | Used for writing notes
pen | easy | For writing on paper
backpack | medium | Larger bag worn on shoulders
thermos | medium | Keeps drinks hot or cold
compass | medium | Device for finding directions
binoculars | medium | Magnifies distant objects
calculator | medium | Performs mathematical calculations
flashlight | medium | Portable light source
measuring tape | medium | Tool to measure lengths
stapler | medium | Binds papers together
magnifying glass | medium | Enlarges small objects
headphones | medium | For listening to music privately
astrolabe | hard | Ancient tool to solve astronomical problems
quipu | hard | Ancient Incan knotted string recording device
gimbal | hard | Pivoted support for rotation of objects
barometer | hard | Measures atmospheric pressure
sparrow | easy | Small common bird found in cities
crow | easy | Black bird, often considered smart
flamingo | medium | Pink bird standing on one leg
peacock | medium | Colourful bird known for its tail feathers
cassowary | hard | Large flightless bird from Australia
shoebill | hard | Bird with a huge shoe-shaped beak
kakapo | hard | Rare nocturnal parrot from New Zealand
rain | easy | Water falling from clouds
snow | easy | Frozen precipitation
sunshine | easy | Direct sunlight
wind | easy | Movement of air
fog | easy | Low hanging mist
aurora | medium | Natural light display near poles
tornado | medium | Rotating column of air in storms
earthquake | medium | Shaking of the ground
chemistry | easy | Study of matter and reactions
biology | easy | Study of living organisms
geology | medium | Study of rocks and Earth's structure
meteorology | medium | Study of weather and atmosphere
cryogenics | hard | Study of very low temperatures
astrobiology | hard | Study of life in space
happiness | easy | Feeling of joy
anger | easy | Feeling of strong displeasure
sadness | easy | Feeling of sorrow
envy | medium | Feeling of wanting what someone else has
nostalgia | medium | Longing for the past
guilt | medium | Feeling of responsibility for a mistake
limerence | hard | Intense romantic infatuation
anomie | hard | Feeling of social instability or normlessness
ouagadougou | hard | Capital of Burkina Faso
barcelona | medium | Important coastal city in Spain
singapore | medium | Very prosperous city-state in Southeast Asia
tijuana | medium | Border city in Mexico
thiruvananthapuram | medium | Important city in Kerala
jazz | medium | Genre of music
quizzical | medium | Indicating puzzlement
xylophone | medium | Musical instrument
onomatopoeia | medium | Grammatical term for words representing sounds
supercalifragilisticexpialidocious | hard | Mary Poppins
hippopotomonstrosesquippedaliophobia | hard | Fear of long words
xerox | medium | To photocopy
